English,Spanish
"When marimba rhythms start to play","Cuando los ritmos de la marimba empiezan a sonar"
"Dance with me, make me sway","Baila conmigo, hazme balancear"
"Like a lazy ocean hugs the shore","Como un océano tranquilo abraza la orilla"
"Hold me close, sway me more","Abrázame fuerte, hazme balancear más"
"Like a flower bending in the breeze","Como una flor que se inclina en la brisa"
"Bend with me, sway with ease","Inclínate conmigo, balancea con suavidad"
"When we dance, you have a way with me","Cuando bailamos, tienes un efecto en mí"
"Stay with me, sway with me","Quédate conmigo, balancea conmigo"
"Other dancers may be on the floor","Otros bailarines pueden estar en la pista"
"Dear, but my eyes will see only you","Cariño, pero mis ojos solo te verán a ti"
"Only you have that magic technique","Solo tú tienes esa técnica mágica"
"When we sway, I go weak","Cuando nos balanceamos, me debilito"
"I can hear the sounds of violins","Puedo escuchar los sonidos de los violines"
"Long before it begins","Mucho antes de que empiece"
"Make me thrill as only you know how","Hazme estremecer como solo tú sabes hacerlo"
"Sway me smooth, sway me now","Hazme balancear suavemente, hazme balancear ahora"
"Other dancers may be on the floor","Otros bailarines pueden estar en la pista"
"Dear, but my eyes will see only you","Cariño, pero mis ojos solo te verán a ti"
"Only you have that magic technique","Solo tú tienes esa técnica mágica"
"When we sway, I go weak","Cuando nos balanceamos, me debilito"
"I can hear the sounds of violins","Puedo escuchar los sonidos de los violines"
"Long before it begins","Mucho antes de que empiece"
"Make me thrill as only you know how","Hazme estremecer como solo tú sabes hacerlo"
"Sway me smooth, sway me now","Hazme balancear suavemente, hazme balancear ahora"
"When marimba rhythms start to play","Cuando los ritmos de la marimba empiezan a sonar"
"Dance with me, make me sway","Baila conmigo, hazme balancear"
"Like a lazy ocean hugs the shore","Como un océano tranquilo abraza la orilla"
"Hold me close, sway me more","Abrázame fuerte, hazme balancear más"
"Like a flower bending in the breeze","Como una flor que se inclina en la brisa"
"Bend with me, sway with ease","Inclínate conmigo, balancea con suavidad"
"When we dance you have a way with me","Cuando bailamos tienes un efecto en mí"
"Stay with me, sway with me","Quédate conmigo, balancea conmigo"
