english,spanish,song,artist
"Alabama Song (Live 1978) Lyrics Oh show me the way to the next whiskey bar Oh don't ask why, oh don’t ask why For we must find the next whiskey bar Or if we don't find the next whiskey bar I tell you we must die","Alabama Song (Live 1978) Lyrics Oh, muéstrame el camino al próximo Bar de whisky oh Don't pregunte por qué, oh, no preguntes por qué debemos encontrar el próximo bar de whisky o si no encontramos el próximo bar de whisky, te digo que debemos morir",Song 1,David Bowie
"I tell you we must die I tell you, I tell you I tell you we must die Oh moon of Alabama, it's time to say goodbye","Te digo que debemos morir te digo, te digo que te digo que debemos morir oh luna de Alabama, es hora de decir adiós",Song 1,David Bowie
"We’ve lost our good old mama And must have whiskey or you know why Oh moon of Alabama, it's time to say goodbye We've lost our good old mama And must have whiskey or you know why","Hemos perdido a nuestra buena mamá y debemos tener whisky o sabes por qué oh luna de Alabama, es hora de decir adiós que hemos perdido a nuestra buena mamá y debemos tener whisky o sabes por qué",Song 1,David Bowie
"Oh show us the way to the next little dollar Oh don't ask why, no don't ask why For we must find the next little dollar Or if we don't find the next little dollar","Oh, muéstranos el camino al próximo dólar pequeño oh, no preguntes por qué, no, no preguntes por qué debemos encontrar el próximo pequeño dólar o si no encontramos el próximo dólar pequeño",Song 1,David Bowie
Only a Northern Song (Takes 3 & 12) Lyrics If you're listening to this song You may think the chords are going wrong But they're not,Solo una canción del norte (toma 3 y 12),Song 3,The Beatles
I just wrote it like that When you listen late at night You may feel the words are not quite right But they are,"Lo acabo de escribir así cuando escuchas tarde por la noche, puedes sentir que las palabras no están del todo bien, pero están",Song 3,The Beatles
"I just wrote them myself And it doesn't really matter what chords I play What words I say, or time of day it is As it's only a Northern song It doesn't really matter what clothes I wear Or how I fare or if my hair is brown","Los escribí yo mismo y realmente no importa qué acordes toco qué palabras digo, o hora del día, ya que es solo una canción del norte, realmente no importa qué ropa me ponga o cómo me va o si mi cabello es marrón",Song 3,The Beatles
When it's only a Northern song If you think the harmony Is a little off and out of key Then you're right Cause I sing it myself,"Cuando es solo una canción del norte si crees que la armonía está un poco fuera y fuera de la clave, entonces tienes razón porque lo canto yo mismo",Song 3,The Beatles
Song 5 Lyrics Marroon 3 on the beat Your mom likes to eat My beef curtains Got a weekly meeting with the sister's pilates class,"Letra de la canción 5 Marroon 3 En el ritmo, tu mamá le gusta comer mis cortinas de carne.",Song 3,Maroon 5
Sometimes I feel like I forget what it's like to feel the warmth of self-acceptance It's my turn to spit (Whoa) It's your time to piss (Yeah) It's my turn to spit (Woah) The clock is ticking (Yeah),"A veces siento que olvido lo que es sentir el calor de la autoaceptación, es mi turno de Spit (Whoa) Es tu momento de orinar (sí) Es mi turno de escupir (woah) el reloj está marcando (sí)",Song 3,Maroon 5
